model,id,format,knob,level,replicate,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,normalized,score,strict
claude-sonnet-5,pbmc_c4_noise_6_r2_symbol,symbol,noise,6,2,NK cells,NK cell (cytotoxic natural killer cell),0.75,"{""cell_type"": ""NK cell (cytotoxic natural killer cell)"", ""confidence"": 0.75}",end_turn,119,39,,0.000628,NK cells,1.0,1.0
claude-sonnet-5,pbmc_c4_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,NK cells,NK cell (cytotoxic CD56dim natural killer cell),0.85,"```json
{""cell_type"": ""NK cell (cytotoxic CD56dim natural killer cell)"", ""confidence"": 0.85}
```",end_turn,114,49,,0.000718,NK cells,1.0,1.0
claude-sonnet-5,pbmc_c4_noise_6_r1_ensembl,ensembl,noise,6,1,NK cells,NK cell (natural killer cell),0.7,"{""cell_type"": ""NK cell (natural killer cell)"", ""confidence"": 0.7}",end_turn,153,412,,0.004426,NK cells,1.0,1.0
claude-sonnet-5,pbmc_c4_noise_6_r2_ensembl,ensembl,noise,6,2,NK cells,NK cell (natural killer cell),0.75,"{""cell_type"": ""NK cell (natural killer cell)"", ""confidence"": 0.75}",end_turn,153,272,,0.003026,NK cells,1.0,1.0
claude-sonnet-5,pbmc_c4_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,NK cells,Natural killer (NK) cell,0.85,"{""cell_type"": ""Natural killer (NK) cell"", ""confidence"": 0.85}",end_turn,153,257,,0.002876,NK cells,1.0,1.0
claude-sonnet-5,pbmc_c4_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,NK cells,NK cell (cytotoxic natural killer cell),0.85,"{""cell_type"": ""NK cell (cytotoxic natural killer cell)"", ""confidence"": 0.85}",end_turn,114,39,,0.000618,NK cells,1.0,1.0
claude-sonnet-5,pbmc_c4_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,NK cells,Natural Killer (NK) cells,0.9,"{""cell_type"": ""Natural Killer (NK) cells"", ""confidence"": 0.9}",end_turn,153,256,,0.002866,NK cells,1.0,1.0
claude-sonnet-5,pbmc_c5_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,FCGR3A Monocytes,CD16+ (non-classical) monocyte,0.85,"```json
{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.85}
```",end_turn,117,41,,0.000644,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,FCGR3A Monocytes,Monocyte/Macrophage,0.75,"{""cell_type"": ""Monocyte/Macrophage"", ""confidence"": 0.75}",end_turn,119,32,,0.000558,Monocytes (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c5_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.85,"{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.85}",end_turn,153,263,,0.002936,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,FCGR3A Monocytes,Monocyte (non-classical/CD16+ monocyte),0.7,"{""cell_type"": ""Monocyte (non-classical/CD16+ monocyte)"", ""confidence"": 0.7}",end_turn,117,42,,0.000654,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,FCGR3A Monocytes,Monocyte/Macrophage (CD68+ myeloid cell),0.85,"{""cell_type"": ""Monocyte/Macrophage (CD68+ myeloid cell)"", ""confidence"": 0.85}",end_turn,153,324,,0.003546,Monocytes (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c5_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,FCGR3A Monocytes,Monocyte,0.7,"{""cell_type"": ""Monocyte"", ""confidence"": 0.7}",end_turn,118,26,,0.000496,Monocytes (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c5_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,FCGR3A Monocytes,Monocyte,0.85,"{""cell_type"": ""Monocyte"", ""confidence"": 0.85}",end_turn,153,255,,0.002856,Monocytes (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c5_n_genes_1_r0_symbol,symbol,n_genes,1,0,FCGR3A Monocytes,Monocyte (CD14+/CD16+ myeloid cell),0.6,"{""cell_type"": ""Monocyte (CD14+/CD16+ myeloid cell)"", ""confidence"": 0.6}",end_turn,67,44,,0.000574,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_n_genes_3_r0_symbol,symbol,n_genes,3,0,FCGR3A Monocytes,"Monocyte (myeloid cell, likely CD14+/CD16+ monocyte)",0.75,"```json
{""cell_type"": ""Monocyte (myeloid cell, likely CD14+/CD16+ monocyte)"", ""confidence"": 0.75}
```",end_turn,78,56,,0.000716,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,FCGR3A Monocytes,Monocyte,0.6,"{""cell_type"": ""Monocyte"", ""confidence"": 0.6}",end_turn,72,91,,0.001054,Monocytes (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c5_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,FCGR3A Monocytes,Platelets,0.75,"{""cell_type"": ""Platelets"", ""confidence"": 0.75}",end_turn,153,527,,0.005576,Megakaryocytes,0.0,0.0
claude-sonnet-5,pbmc_c5_n_genes_5_r0_symbol,symbol,n_genes,5,0,FCGR3A Monocytes,CD16+ (non-classical) monocyte,0.85,"```json
{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.85}
```",end_turn,90,41,,0.00059,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,FCGR3A Monocytes,Monocyte,0.85,"{""cell_type"": ""Monocyte"", ""confidence"": 0.85}",end_turn,90,172,,0.0019,Monocytes (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c5_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.85,"{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.85}",end_turn,108,198,,0.002196,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_n_genes_10_r0_symbol,symbol,n_genes,10,0,FCGR3A Monocytes,CD16+ non-classical monocyte,0.85,"```json
{""cell_type"": ""CD16+ non-classical monocyte"", ""confidence"": 0.85}
```",end_turn,117,39,,0.000624,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.85,"{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.85}",end_turn,153,277,,0.003076,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_0_r0_symbol,symbol,noise,0,0,FCGR3A Monocytes,CD16+ (non-classical/intermediate) monocyte,0.85,"```json
{""cell_type"": ""CD16+ (non-classical/intermediate) monocyte"", ""confidence"": 0.85}
```",end_turn,117,46,,0.000694,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_2_r0_symbol,symbol,noise,2,0,FCGR3A Monocytes,Non-classical (CD16+) monocyte,0.85,"```json
{""cell_type"": ""Non-classical (CD16+) monocyte"", ""confidence"": 0.85}
```",end_turn,119,41,,0.000648,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_0_r0_ensembl,ensembl,noise,0,0,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.85,"{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.85}",end_turn,153,268,,0.002986,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_2_r1_symbol,symbol,noise,2,1,FCGR3A Monocytes,Monocyte (CD16+ non-classical monocyte),0.75,"```json
{""cell_type"": ""Monocyte (CD16+ non-classical monocyte)"", ""confidence"": 0.75}
```",end_turn,118,46,,0.000696,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_2_r0_ensembl,ensembl,noise,2,0,FCGR3A Monocytes,CD16+ (non-classical) monocyte,0.85,"```json
{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.85}
```",end_turn,153,270,,0.003006,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_2_r2_symbol,symbol,noise,2,2,FCGR3A Monocytes,CD16+ Monocyte (Non-classical Monocyte),0.85,"```json
{""cell_type"": ""CD16+ Monocyte (Non-classical Monocyte)"", ""confidence"": 0.85}
```",end_turn,120,48,,0.00072,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_2_r1_ensembl,ensembl,noise,2,1,FCGR3A Monocytes,CD16+ (non-classical) monocyte,0.75,"{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.75}",end_turn,153,396,,0.004266,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_4_r0_symbol,symbol,noise,4,0,FCGR3A Monocytes,CD16+ non-classical monocyte,0.8,"{""cell_type"": ""CD16+ non-classical monocyte"", ""confidence"": 0.8}",end_turn,118,34,,0.000576,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_4_r1_symbol,symbol,noise,4,1,FCGR3A Monocytes,CD16+ (non-classical) monocyte,0.75,"{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.75}",end_turn,124,36,,0.000608,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_2_r2_ensembl,ensembl,noise,2,2,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.75,"{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.75}",end_turn,153,497,,0.005276,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_4_r0_ensembl,ensembl,noise,4,0,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.85,"{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.85}",end_turn,153,352,,0.003826,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_4_r2_symbol,symbol,noise,4,2,FCGR3A Monocytes,CD16+ non-classical monocyte,0.8,"{""cell_type"": ""CD16+ non-classical monocyte"", ""confidence"": 0.8}",end_turn,125,34,,0.00059,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_6_r0_symbol,symbol,noise,6,0,FCGR3A Monocytes,Monocyte,0.65,"```json
{""cell_type"": ""Monocyte"", ""confidence"": 0.65}
```",end_turn,122,31,,0.000554,Monocytes (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c5_noise_4_r1_ensembl,ensembl,noise,4,1,FCGR3A Monocytes,CD16+ (non-classical) monocyte,0.75,"{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.75}",end_turn,153,459,,0.004896,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_6_r1_symbol,symbol,noise,6,1,FCGR3A Monocytes,Non-classical (CD16+) monocyte,0.7,"{""cell_type"": ""Non-classical (CD16+) monocyte"", ""confidence"": 0.7}",end_turn,121,36,,0.000602,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_4_r2_ensembl,ensembl,noise,4,2,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.6,"```json
{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.6}
```",end_turn,153,524,,0.005546,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_6_r2_symbol,symbol,noise,6,2,FCGR3A Monocytes,Non-classical monocyte (CD16+ monocyte),0.65,"```json
{""cell_type"": ""Non-classical monocyte (CD16+ monocyte)"", ""confidence"": 0.65}
```",end_turn,128,46,,0.000716,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_6_r0_ensembl,ensembl,noise,6,0,FCGR3A Monocytes,"Monocyte (myeloid lineage, e.g., CD14+ monocyte/macrophage)",0.6,"{""cell_type"": ""Monocyte (myeloid lineage, e.g., CD14+ monocyte/macrophage)"", ""confidence"": 0.6}",end_turn,153,453,,0.004836,CD14 Monocytes,0.0,0.0
claude-sonnet-5,pbmc_c5_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,FCGR3A Monocytes,CD16+ (non-classical) monocyte,0.85,"```json
{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.85}
```",end_turn,117,41,,0.000644,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_6_r1_ensembl,ensembl,noise,6,1,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.6,"{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.6}",end_turn,153,530,,0.005606,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_noise_6_r2_ensembl,ensembl,noise,6,2,FCGR3A Monocytes,Natural killer (NK) cells,0.6,"{""cell_type"": ""Natural killer (NK) cells"", ""confidence"": 0.6}",end_turn,153,434,,0.004646,NK cells,0.0,0.0
claude-sonnet-5,pbmc_c5_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,FCGR3A Monocytes,"CD16+ (non-classical/monocyte) - Monocyte, specifically FCGR3A+ Monocyte",0.85,"```json
{""cell_type"": ""CD16+ (non-classical/monocyte) - Monocyte, specifically FCGR3A+ Monocyte"", ""confidence"": 0.85}
```",end_turn,117,65,,0.000884,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c5_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,FCGR3A Monocytes,CD16+ non-classical monocytes,0.85,"{""cell_type"": ""CD16+ non-classical monocytes"", ""confidence"": 0.85}",end_turn,153,286,,0.003166,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c6_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,Dendritic cells,Dendritic cell (myeloid/conventional DC),0.85,"```json
{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.85}
```",end_turn,138,45,,0.000726,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c5_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,FCGR3A Monocytes,CD16+ (non-classical) monocytes,0.85,"{""cell_type"": ""CD16+ (non-classical) monocytes"", ""confidence"": 0.85}",end_turn,153,260,,0.002906,FCGR3A Monocytes,1.0,1.0
claude-sonnet-5,pbmc_c6_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,Dendritic cells,"Conventional dendritic cell (myeloid DC, CD1c+/cDC2)",0.7,"{""cell_type"": ""Conventional dendritic cell (myeloid DC, CD1c+/cDC2)"", ""confidence"": 0.7}",end_turn,123,50,,0.000746,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,Dendritic cells,"Dendritic cell (antigen-presenting myeloid cell, e.g. conventional DC or monocyte/macrophage expressing high MHC class II)",0.75,"{""cell_type"": ""Dendritic cell (antigen-presenting myeloid cell, e.g. conventional DC or monocyte/macrophage expressing high MHC class II)"", ""confidence"": 0.75}",end_turn,153,309,,0.003396,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,Dendritic cells,"Monocyte/Macrophage (myeloid, antigen-presenting cell)",0.75,"```json
{""cell_type"": ""Monocyte/Macrophage (myeloid, antigen-presenting cell)"", ""confidence"": 0.75}
```",end_turn,122,53,,0.000774,Monocytes (unspecified),0.0,0.0
claude-sonnet-5,pbmc_c6_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,Dendritic cells,Monocyte,0.75,"{""cell_type"": ""Monocyte"", ""confidence"": 0.75}",end_turn,153,269,,0.002996,Monocytes (unspecified),0.0,0.0
claude-sonnet-5,pbmc_c6_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,Dendritic cells,Monocyte (myeloid lineage),0.75,"```json
{""cell_type"": ""Monocyte (myeloid lineage)"", ""confidence"": 0.75}
```",end_turn,117,40,,0.000634,Monocytes (unspecified),0.0,0.0
claude-sonnet-5,pbmc_c6_n_genes_1_r0_symbol,symbol,n_genes,1,0,Dendritic cells,"Antigen-presenting cell (e.g., dendritic cell/monocyte/B cell - MHC class II expressing)",0.3,"```json
{""cell_type"": ""Antigen-presenting cell (e.g., dendritic cell/monocyte/B cell - MHC class II expressing)"", ""confidence"": 0.3}
```",end_turn,72,66,,0.000804,B cells,0.0,0.0
claude-sonnet-5,pbmc_c6_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,Dendritic cells,Neutrophil,0.75,"{""cell_type"": ""Neutrophil"", ""confidence"": 0.75}",end_turn,153,457,,0.004876,other,0.0,0.0
claude-sonnet-5,pbmc_c6_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,Dendritic cells,Monocyte (myeloid lineage),0.75,"{""cell_type"": ""Monocyte (myeloid lineage)"", ""confidence"": 0.75}",end_turn,153,384,,0.004146,Monocytes (unspecified),0.0,0.0
claude-sonnet-5,pbmc_c6_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,Dendritic cells,Dendritic cell (HLA-DPA1+ antigen-presenting cell),0.4,"{""cell_type"": ""Dendritic cell (HLA-DPA1+ antigen-presenting cell)"", ""confidence"": 0.4}",end_turn,72,49,,0.000634,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_n_genes_3_r0_symbol,symbol,n_genes,3,0,Dendritic cells,"Dendritic cell (antigen-presenting myeloid cell, MHC class II high)",0.6,"{""cell_type"": ""Dendritic cell (antigen-presenting myeloid cell, MHC class II high)"", ""confidence"": 0.6}",end_turn,89,50,,0.000678,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,Dendritic cells,"Dendritic cell (antigen-presenting cell expressing MHC class II genes HLA-DPA1, HLA-DPB1, HLA-DRA)",0.6,"{""cell_type"": ""Dendritic cell (antigen-presenting cell expressing MHC class II genes HLA-DPA1, HLA-DPB1, HLA-DRA)"", ""confidence"": 0.6}",end_turn,90,302,,0.0032,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_n_genes_5_r0_symbol,symbol,n_genes,5,0,Dendritic cells,"Antigen-presenting cell (e.g., dendritic cell, B cell, or monocyte/macrophage) - MHC class II high",0.6,"```json
{""cell_type"": ""Antigen-presenting cell (e.g., dendritic cell, B cell, or monocyte/macrophage) - MHC class II high"", ""confidence"": 0.6}
```",end_turn,102,70,,0.000904,B cells,0.0,0.0
claude-sonnet-5,pbmc_c6_n_genes_10_r0_symbol,symbol,n_genes,10,0,Dendritic cells,Dendritic cell (conventional/myeloid DC),0.85,"```json
{""cell_type"": ""Dendritic cell (conventional/myeloid DC)"", ""confidence"": 0.85}
```",end_turn,138,45,,0.000726,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,Dendritic cells,"Dendritic cell (or other MHC class II+ antigen-presenting cell, e.g., B cell/monocyte)",0.6,"{""cell_type"": ""Dendritic cell (or other MHC class II+ antigen-presenting cell, e.g., B cell/monocyte)"", ""confidence"": 0.6}",end_turn,108,446,,0.004676,B cells,0.0,0.0
claude-sonnet-5,pbmc_c6_noise_0_r0_symbol,symbol,noise,0,0,Dendritic cells,Dendritic cell (myeloid/conventional DC),0.85,"```json
{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.85}
```",end_turn,138,45,,0.000726,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,Dendritic cells,"Dendritic cell (myeloid/conventional DC, antigen-presenting cell)",0.85,"{""cell_type"": ""Dendritic cell (myeloid/conventional DC, antigen-presenting cell)"", ""confidence"": 0.85}",end_turn,153,410,,0.004406,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_2_r0_symbol,symbol,noise,2,0,Dendritic cells,Dendritic cell (myeloid/conventional DC),0.85,"{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.85}",end_turn,135,40,,0.00067,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_0_r0_ensembl,ensembl,noise,0,0,Dendritic cells,"Dendritic cell (myeloid/conventional DC, MHC class II high)",0.85,"{""cell_type"": ""Dendritic cell (myeloid/conventional DC, MHC class II high)"", ""confidence"": 0.85}",end_turn,153,434,,0.004646,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_2_r1_symbol,symbol,noise,2,1,Dendritic cells,"Dendritic cell (myeloid/conventional DC, e.g., cDC2)",0.8,"```json
{""cell_type"": ""Dendritic cell (myeloid/conventional DC, e.g., cDC2)"", ""confidence"": 0.8}
```",end_turn,132,54,,0.000804,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_2_r2_symbol,symbol,noise,2,2,Dendritic cells,Dendritic cell (myeloid/conventional DC or monocyte-derived antigen-presenting cell),0.7,"```json
{""cell_type"": ""Dendritic cell (myeloid/conventional DC or monocyte-derived antigen-presenting cell)"", ""confidence"": 0.7}
```",end_turn,134,62,,0.000888,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_2_r0_ensembl,ensembl,noise,2,0,Dendritic cells,"Dendritic cell (or other antigen-presenting cell, e.g. B cell/monocyte) - based on strong MHC class II gene signature (HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DQA1, HLA-DRB5, HLA-DMA, CD74)",0.6,"{""cell_type"": ""Dendritic cell (or other antigen-presenting cell, e.g. B cell/monocyte) - based on strong MHC class II gene signature (HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DQA1, HLA-DRB5, HLA-DMA, CD74)"", ""confidence"": 0.6}",end_turn,153,513,,0.005436,B cells,0.0,0.0
claude-sonnet-5,pbmc_c6_noise_2_r1_ensembl,ensembl,noise,2,1,Dendritic cells,"Dendritic cell (myeloid/conventional DC, antigen-presenting cell)",0.75,"{""cell_type"": ""Dendritic cell (myeloid/conventional DC, antigen-presenting cell)"", ""confidence"": 0.75}",end_turn,153,485,,0.005156,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_4_r0_symbol,symbol,noise,4,0,Dendritic cells,Dendritic cell (conventional/myeloid DC),0.7,"{""cell_type"": ""Dendritic cell (conventional/myeloid DC)"", ""confidence"": 0.7}",end_turn,130,40,,0.00066,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_4_r1_symbol,symbol,noise,4,1,Dendritic cells,Dendritic cell (conventional/myeloid DC),0.85,"```json
{""cell_type"": ""Dendritic cell (conventional/myeloid DC)"", ""confidence"": 0.85}
```",end_turn,136,45,,0.000722,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_2_r2_ensembl,ensembl,noise,2,2,Dendritic cells,"Dendritic cell (myeloid, HLA-DR+ antigen-presenting cell)",0.65,"{""cell_type"": ""Dendritic cell (myeloid, HLA-DR+ antigen-presenting cell)"", ""confidence"": 0.65}",end_turn,153,607,,0.006376,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_4_r2_symbol,symbol,noise,4,2,Dendritic cells,"Dendritic cell (conventional/myeloid DC, e.g. cDC2)",0.75,"{""cell_type"": ""Dendritic cell (conventional/myeloid DC, e.g. cDC2)"", ""confidence"": 0.75}",end_turn,123,49,,0.000736,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_4_r1_ensembl,ensembl,noise,4,1,Dendritic cells,Dendritic cell (conventional DC),0.85,"{""cell_type"": ""Dendritic cell (conventional DC)"", ""confidence"": 0.85}",end_turn,153,371,,0.004016,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_6_r0_symbol,symbol,noise,6,0,Dendritic cells,Dendritic cell (myeloid/conventional DC),0.6,"{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.6}",end_turn,133,40,,0.000666,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_4_r2_ensembl,ensembl,noise,4,2,Dendritic cells,Dendritic cell (myeloid/conventional DC),0.7,"{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.7}",end_turn,153,432,,0.004626,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_4_r0_ensembl,ensembl,noise,4,0,Dendritic cells,"Myeloid dendritic cells (cDC2), based on high expression of HLA class II genes (HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB5) together with CST3 and FCER1A, a classic blood DC marker set",0.8,"```json
{""cell_type"": ""Myeloid dendritic cells (cDC2), based on high expression of HLA class II genes (HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB5) together with CST3 and FCER1A, a classic blood DC marker set"", ""confidence"": 0.8}
```",end_turn,153,919,,0.009496,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_6_r1_symbol,symbol,noise,6,1,Dendritic cells,Conventional dendritic cell (cDC1),0.65,"{""cell_type"": ""Conventional dendritic cell (cDC1)"", ""confidence"": 0.65}",end_turn,126,125,,0.001502,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_6_r0_ensembl,ensembl,noise,6,0,Dendritic cells,"Dendritic cell (myeloid/conventional DC, HLA-DR+ antigen-presenting cell)",0.6,"{""cell_type"": ""Dendritic cell (myeloid/conventional DC, HLA-DR+ antigen-presenting cell)"", ""confidence"": 0.6}",end_turn,153,401,,0.004316,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_6_r2_symbol,symbol,noise,6,2,Dendritic cells,Dendritic cell (myeloid/conventional DC),0.6,"{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.6}",end_turn,127,40,,0.000654,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_noise_6_r1_ensembl,ensembl,noise,6,1,Dendritic cells,"Conventional dendritic cell (cDC1), marked by high MHC class II expression (HLA-DRA, HLA-DPB1, HLA-DPA1, HLA-DMA) and BATF3, a key transcription factor for cDC1 lineage commitment, along with CST3",0.75,"{""cell_type"": ""Conventional dendritic cell (cDC1), marked by high MHC class II expression (HLA-DRA, HLA-DPB1, HLA-DPA1, HLA-DMA) and BATF3, a key transcription factor for cDC1 lineage commitment, along with CST3"", ""confidence"": 0.75}",end_turn,153,413,,0.004436,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,Dendritic cells,Dendritic cell (myeloid/conventional DC),0.85,"```json
{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.85}
```",end_turn,138,45,,0.000726,Dendritic cells,1.0,1.0
claude-sonnet-5,pbmc_c6_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,Dendritic cells,Dendritic cell (myeloid/conventional DC),0.85,"```json
{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.85}
```",end_turn,138,45,,0.000726,Dendritic cells,1.0,1.0
